,0,1,2,3,4,5
0,0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,1,Sirius,8.6,2.1,1.71,196.971799550325
2,3,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
3,12,Altair,17.0,1.8,1.8,152.37175636642996
4,18,Fomalhaut,25.0,1.9,1.8,160.8368539423427
5,52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
6,53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
7,54,Ran,10.48,0.82,0.74,410.70254272616984
8,59,Titawin,44.25,1.27,1.48,159.02202111653529
9,63,61 Cygni,11.41,0.7,0.665,434.1419255394917
10,67,54 Piscium,36.1,0.76,0.94,235.9037604224493
11,70,Lacaille 8760,12.87,0.6,0.51,632.685493563031
12,78,Barnard's Star,5.98,0.14,0.2,959.9420651085089
13,79,Luhman 16,6.52,0.04,0.02,27426.9161459574
14,80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
15,87,Gliese 1214,47.5,0.16,0.21,995.0808579032163
16,89,VB 10,18.72,0.075,0.1,2057.0187109468043
17,91,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765336
18,92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
19,95,SDSS J000013.54+255418.6Â [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
20,97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
21,99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123
22,101,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659722,1178.4549471797168
23,102,2MASS 0036+1821,28.6,0.040092696000000004,0.09659722,1178.4549471797168
24,103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
25,104,WISEP J004701.06+680352.1Â [fr],40.0,0.011455056000000002,0.1335919,176.04104671648304
26,105,2MASS J00501994-3322402Â [de],34.0,0.03818352,0.09659722,1122.3380449330632
27,106,2MASS J00584253-0651239Â [de],96.0,0.027683052000000003,0.14695109,351.5971318717637
28,107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
29,108,SDSSp J010752.33+004156.1Â [de],51.0,0.049638576,0.10070774,1342.3649161325598
30,111,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,1238.4366334263516
31,116,2MASS J02431371âˆ’2453298,35.0,0.031501404,0.10173537,834.7625391438166
32,117,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
33,118,Teegarden's star,12.578,0.07636704,0.13050901,1229.7078510792417
34,120,WISE J0254+0223,24.0,0.06204822,0.1952497,446.40140770557866
35,121,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794
36,122,2MASS J03185403-3421292Â [de],45.0,0.046774812,0.09968011,1291.1360646359838
37,123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902
38,125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462176
39,126,2MASS J03264225-2102057Â [de],80.0,0.017182584,0.1335919,264.0615700747245
40,127,2MASS J03284265+2302051Â [de],98.0,0.051547752,0.10070774,1393.9943359838123
41,128,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,1673.3068242582378
42,129,LP 944-20,20.9,0.06968492400000001,0.14695109,885.0548491944395
43,130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
44,132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,1567.8775101260333
45,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
46,134,2MASS J04151954âˆ’0935066,18.6,0.02863764,0.09762485,824.1256757641451
47,135,2MASS J04285096-2253227Â [de],85.0,0.07636704,0.11201167,1669.384557701969
48,136,2MASS J04351612-1606574,34.0,0.09545880000000001,0.12948138,1561.6306004391138
49,138,2MASS J04390101-2353083Â [de],29.5,0.04582022400000001,0.09968011,1264.786349031168
50,139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
51,140,2MASS J04455387-3048204Â [de],42.0,0.061093632,0.102763,1586.7166344045677
52,142,2MASS J05002100+0330501Â [de],44.0,0.061093632,0.102763,1586.7166344045677
53,143,2MASS J05012406-0010452Â [de],64.0,0.020046348000000002,0.14181294,273.3886765721481
54,144,2MASS J05160945-0445499Â [de],73.0,0.04486563599999999,0.09968011,1238.4366334263516
55,145,2MASS J0523âˆ’1403,40.0,0.064911984,0.10379063,1652.6678012497337
56,146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254
57,147,LSR 0602+3910Â [de],34.6,0.026728464,0.14489583,349.1718362013974
58,149,2MASS J06244595-4521548Â [de],39.0,0.053456928,0.10173537,1416.5667330925376
59,150,2MASS J06411840-4322329Â [de],65.0,0.063957396,0.10379063,1628.363862996061
60,151,DENIS-P J0652197-253450Â [de],51.0,0.07159410000000001,0.10790115,1686.5610484742424
61,152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
62,153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799
63,154,2MASSI J0727182+171001Â [de],29.6,0.039138108,0.09659722,1150.3964960563899
64,155,2MASS J07290002-3954043Â [de],25.8,0.035319756,0.09659722,1038.1626915630836
65,156,SDSS J074201.41+205520.5Â [de],49.0,0.041047283999999996,0.09659722,1206.513398303043
66,157,DENIS-P J0751164-253043Â [de],55.0,0.067775748,0.10584589,1659.2174251037488
67,159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1234.5718494263697
68,160,2MASS J08251968+2115521Â [de],35.0,0.049638576,0.10070774,1342.3649161325598
69,161,SDSSp J083008.12+482847.4Â [de],43.0,0.04582022400000001,0.10173537,1214.200056936461
70,162,LHS 2021,55.0,0.084003744,0.11817745,1649.7053854867902
71,163,SDSS J083048.80+012831.1Â [de],77.0,0.043911048,0.09865248,1237.4702484573381
72,164,2MASSI J0835425-081923Â [de],23.53,0.059184455999999996,0.102763,1537.131739579425
73,165,2MASSI J0847287-153237Â [de],43.0,0.061093632,0.102763,1586.7166344045677
74,166,2MASS J08533619-0329321,27.6,0.07350327599999999,0.10995641,1667.410647888894
75,167,2MASSI J0859254-194926Â [de],50.0,0.047729400000000005,0.10070774,1290.7354962813079
76,168,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659722,1178.4549471797168
77,169,2MASS 0939âˆ’2448,17.4,0.030546816,0.09762485,879.0673874817548
78,170,2MASS J09490860-1545485Â [de],59.0,0.046774812,0.09865248,1318.174829878469
79,171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,1234.5718494263697
80,172,2MASSI J1010148-040649Â [de],55.0,0.048683988,0.10070774,1316.5502062069338
81,173,2MASS J10224821+5825453Â [de],60.0,0.025773876,0.14489583,336.7014134799189
82,174,2MASSW J1036530-344138Â [de],53.0,0.046774812,0.09968011,1291.1360646359838
83,175,2MASS J1047538+212423Â [de],34.4,0.040092696000000004,0.09659722,1178.4549471797168
84,176,DEN 1048-3956,13.15,0.07350327599999999,0.10995641,1667.410647888894
